position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Minecraft,Series,Mojang  ,Mojang  ,N/A  ,N/A  ,N/A  ,238.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 11  ,08th Feb 20
2,Saints Row,Series,THQ  ,Volition  ,N/A  ,N/A  ,N/A  ,32.00m,N/A,N/A,N/A,N/A,N/A,29th Aug 06  ,10th Mar 20
3,Dragon Quest Builders,Series,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,2.20m,N/A,N/A,N/A,N/A,N/A,11th Oct 16  ,11th Mar 20
4,Minecraft,NS,Mojang  ,4J Studios  ,N/A  ,9.2  ,N/A  ,N/A,1.89m,0.69m,0.56m,0.52m,0.12m,21st Jun 18  ,26th Jan 19
5,Dragon Quest Builders,All,Nintendo  ,Square Enix  ,N/A  ,N/A  ,N/A  ,1.10m,N/A,N/A,N/A,N/A,N/A,11th Oct 16  ,22nd Jan 21
6,Dragon Quest Builders 2,All,Nintendo  ,Square Enix  ,N/A  ,N/A  ,N/A  ,1.10m,N/A,N/A,N/A,N/A,N/A,12th Jul 19  ,22nd Jan 21
7,CastleMiner Z,XBL,Unknown  ,DigitalDNA Games  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,N/A  ,19th Mar 20
8,Planet Explorers,PC,Unknown  ,Pathea Games  ,N/A  ,N/A  ,N/A  ,0.37m,N/A,N/A,N/A,N/A,N/A,N/A  ,10th Feb 19
9,Windward,PC,Unknown  ,Tasharen Entertainment Inc.  ,N/A  ,N/A  ,N/A  ,0.36m,N/A,N/A,N/A,N/A,N/A,N/A  ,11th Feb 19
10,PixARK,PC,Snail Games USA  ,Snail Games USA  ,N/A  ,N/A  ,N/A  ,0.26m,N/A,N/A,N/A,N/A,N/A,27th Mar 18  ,19th May 19
11,Blockland,PC,Unknown  ,Eric Hartman  ,N/A  ,N/A  ,N/A  ,0.23m,N/A,N/A,N/A,N/A,N/A,N/A  ,21st Feb 19
12,Avorion,PC,Unknown  ,Boxelware  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,N/A  ,27th Feb 19
13,Outer Wilds,PC,Annapurna Interactive  ,Mobius Digital  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th May 19  ,24th May 19
14,Outer Wilds,XOne,Annapurna Interactive  ,Mobius Digital  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th May 19  ,24th May 19
15,PixARK,NS,Snail Game  ,Snail Games USA  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st May 19  ,08th Apr 19
16,PixARK,PS4,Snail Game  ,Snail Games USA  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st May 19  ,08th Apr 19
17,PixARK,XOne,Snail Game  ,Snail Games USA  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st May 19  ,08th Apr 19
18,Saints Row: The Third Remastered,XOne,THQ  ,Volition  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd May 20  ,13th Apr 20
19,Saints Row: The Third Remastered,PC,THQ  ,Volition  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd May 20  ,13th Apr 20
20,Saints Row: The Third Remastered,PS4,THQ  ,Volition  ,7.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd May 20  ,13th Apr 20
